OrderNumber,OrderDate,ShipDate,ShipmentCost,RequestedShippingService,ShippedCarrier,ShippedService,Weight,Length,Width,Height,OrderTotal,Warehouse,Account
6668203,2023-02-02 23:23:22,2023-02-03 00:00:00,8.02,STANDARD - BEST WAY EBAY,fedex,fedex_smartpost_parcel_select,45.10,16.00,10.00,1.00,35.95,FedEx Trade Network,mishon
6668201,2023-02-02 22:29:02,2023-02-03 00:00:00,15.33,Amazon Merchants@ - Standard,ups,ups_standard,67.03,15.50,11.50,3.50,78.34,"New Dundee, ON",partdiscounter
6668200,2023-02-02 23:14:39,2023-02-03 00:00:00,4.24,STANDARD - BEST WAY EBAY,stamps_com,usps_first_class_mail,4.90,10.00,6.00,1.00,11.95,FedEx Trade Network,mishon
6668199,2023-02-02 23:11:40,2023-02-03 00:00:00,4.24,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,4.90,16.00,10.00,1.00,17.15,FedEx Trade Network,mishon
6668197,2023-02-02 22:59:02,2023-02-03 00:00:00,7.96,STANDARD - BEST WAY AMAZON,fedex,fedex_smartpost_parcel_select,16.20,10.00,6.00,1.00,24.20,FedEx Trade Network,mishon
6668191,2023-02-02 22:46:10,2023-02-03 00:00:00,8.97,STANDARD - BEST WAY AMAZON,fedex,fedex_smartpost_parcel_select,54.20,11.50,8.50,6.50,99.17,FedEx Trade Network,mishon
6668186,2023-02-02 22:46:52,2023-02-03 00:00:00,6.78,STANDARD - BEST WAY EBAY,stamps_com,usps_first_class_mail,14.10,16.00,10.00,1.00,35.95,FedEx Trade Network,mishon
6668176,2023-02-02 22:19:47,2023-02-03 00:00:00,8.70,STANDARD - BEST WAY AMAZON,stamps_com,usps_priority_mail,88.70,16.00,10.00,1.00,47.47,FedEx Trade Network,mishon
6668170,2023-02-02 22:19:21,2023-02-03 00:00:00,10.69,STANDARD - BEST WAY EBAY,fedex,fedex_home_delivery,161.90,12.00,9.00,12.00,129.95,FedEx Trade Network,mishon
6668166,2023-02-02 21:52:20,2023-02-03 00:00:00,12.51,Amazon Merchants@ - Expedited,canada_post,expedited_parcel,4.90,10.00,6.00,1.00,29.32,"New Dundee, ON",partdiscounter
6668164,2023-02-02 22:11:09,2023-02-03 00:00:00,8.70,STANDARD - BEST WAY AMAZON,stamps_com,usps_priority_mail,67.60,16.00,10.00,1.00,30.19,FedEx Trade Network,mishon
6668163,2023-02-02 21:52:33,2023-02-03 00:00:00,6.00,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,13.40,10.00,6.00,1.00,25.54,FedEx Trade Network,mishon
6668162,2023-02-02 21:53:29,2023-02-03 00:00:00,4.13,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,2.80,16.00,10.00,1.00,10.58,FedEx Trade Network,mishon
6668149,2023-02-02 21:46:28,2023-02-03 00:00:00,7.96,STANDARD - BEST WAY EBAY,fedex,fedex_smartpost_parcel_select,28.90,16.00,10.00,1.00,23.95,FedEx Trade Network,mishon
6668135,2023-02-02 20:47:26,2023-02-03 00:00:00,11.85,Amazon Merchants@ - Expedited,canada_post,expedited_parcel,7.00,16.00,10.00,1.00,29.84,"New Dundee, ON",partdiscounter
6668134,2023-02-02 20:48:39,2023-02-03 00:00:00,30.46,Amazon Merchants@ - Standard,ups,ups_standard,380.90,24.00,8.00,8.00,255.24,"New Dundee, ON",partdiscounter
6668133,2023-02-02 21:09:03,2023-02-03 00:00:00,10.85,Shopify - Economy,stamps_com,usps_priority_mail,55.60,16.00,10.00,1.00,48.90,FedEx Trade Network,mishon
6668127,2023-02-02 20:31:55,2023-02-03 00:00:00,13.06,Amazon Merchants@ - Expedited,canada_post,expedited_parcel,76.70,16.00,10.00,1.00,71.13,"New Dundee, ON",partdiscounter
6668126,2023-02-02 20:29:31,2023-02-03 00:00:00,25.33,Amazon Merchants@ - Standard,ups,ups_standard,51.40,11.50,8.50,6.50,92.30,"New Dundee, ON",partdiscounter
6668121,2023-02-02 21:13:19,2023-02-03 00:00:00,10.80,STANDARD - BEST WAY EBAY,fedex,fedex_smartpost_parcel_select,141.50,11.50,8.50,6.50,89.95,FedEx Trade Network,mishon
6668117,2023-02-02 20:56:46,2023-02-03 00:00:00,7.96,STANDARD - BEST WAY AMAZON,fedex,fedex_smartpost_parcel_select,16.20,10.00,6.00,1.00,25.93,FedEx Trade Network,mishon
6668088,2023-02-02 20:14:54,2023-02-03 00:00:00,18.28,Amazon Merchants@ - Standard,canada_post,expedited_parcel,10.60,10.00,6.00,1.00,36.90,"New Dundee, ON",partdiscounter
6668086,2023-02-02 20:57:01,2023-02-03 00:00:00,8.37,STANDARD - BEST WAY EBAY,stamps_com,usps_priority_mail,25.30,16.00,10.00,1.00,34.95,FedEx Trade Network,mishon
6668076,2023-02-02 20:48:37,2023-02-03 00:00:00,10.85,STANDARD - BEST WAY AMAZON,stamps_com,usps_priority_mail,26.80,16.00,10.00,1.00,34.95,FedEx Trade Network,mishon
6668074,2023-02-02 20:45:46,2023-02-03 00:00:00,6.22,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,12.70,16.00,10.00,1.00,23.71,FedEx Trade Network,mishon
6668071,2023-02-02 20:14:20,2023-02-03 00:00:00,27.79,Amazon Merchants@ - Standard,canada_post,expedited_parcel,33.10,15.50,11.50,3.50,43.62,"New Dundee, ON",partdiscounter
6668070,2023-02-02 20:08:21,2023-02-03 00:00:00,10.20,Amazon Merchants@ - Expedited,canada_post,expedited_parcel,8.40,16.00,10.00,1.00,48.53,"New Dundee, ON",partdiscounter
6668053,2023-02-02 20:31:14,2023-02-03 00:00:00,11.32,STANDARD - BEST WAY EBAY,fedex,fedex_home_delivery,323.10,16.00,12.00,10.00,113.85,FedEx Trade Network,mishon
6668051,2023-02-02 20:19:51,2023-02-03 00:00:00,4.15,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,6.30,16.00,10.00,1.00,14.87,FedEx Trade Network,mishon
6668050,2023-02-02 20:09:37,2023-02-03 00:00:00,60.34,,fedex,fedex_economy_international,112.00,25.50,5.00,6.00,129.90,"New Dundee, ON",partdiscounter
6668042,2023-02-02 20:25:13,2023-02-03 00:00:00,4.24,STANDARD - BEST WAY EBAY,stamps_com,usps_first_class_mail,4.90,16.00,10.00,1.00,14.95,FedEx Trade Network,mishon
6668041,2023-02-02 20:04:07,2023-02-03 00:00:00,13.19,(NO SMARTPOST/MAIL INNOV) - BEST WAY SHOPIFY,fedex,fedex_home_delivery,163.30,15.50,11.50,3.50,229.90,FedEx Trade Network,mishon
6668036,2023-02-02 20:15:22,2023-02-03 00:00:00,3.81,STANDARD - BEST WAY EBAY,stamps_com,usps_first_class_mail,3.50,16.00,10.00,1.00,14.95,FedEx Trade Network,mishon
6668031,2023-02-02 19:38:26,2023-02-03 00:00:00,18.15,Amazon Merchants@ - Expedited,ups,ups_standard,117.60,24.00,4.00,4.00,126.42,"New Dundee, ON",partdiscounter
6668030,2023-02-02 20:05:26,2023-02-03 00:00:00,3.90,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,1.60,10.00,6.00,1.00,10.77,FedEx Trade Network,mishon
6668027,2023-02-02 19:57:23,2023-02-03 00:00:00,10.73,STANDARD - BEST WAY AMAZON,fedex,fedex_smartpost_parcel_select,42.20,11.50,8.50,6.50,54.17,FedEx Trade Network,mishon
6668024,2023-02-02 19:56:32,2023-02-03 00:00:00,4.24,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,7.70,16.00,10.00,1.00,16.00,FedEx Trade Network,mishon
6668022,2023-02-02 19:54:32,2023-02-03 00:00:00,3.90,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,2.10,10.00,6.00,1.00,18.53,FedEx Trade Network,mishon
6668010,2023-02-02 19:17:20,2023-02-03 00:00:00,14.50,Amazon Merchants@ - Expedited,canada_post,expedited_parcel,28.20,16.00,10.00,1.00,57.43,"New Dundee, ON",partdiscounter
6667997,2023-02-02 19:44:59,2023-02-03 00:00:00,3.90,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,3.50,10.00,6.00,1.00,10.80,FedEx Trade Network,mishon
6667988,2023-02-02 19:43:42,2023-02-03 00:00:00,4.44,STANDARD - BEST WAY EBAY,stamps_com,usps_first_class_mail,5.60,16.00,10.00,1.00,9.95,FedEx Trade Network,mishon
6667978,2023-02-02 19:26:54,2023-02-03 00:00:00,7.91,STANDARD - BEST WAY AMAZON,stamps_com,usps_priority_mail,26.00,16.00,10.00,1.00,37.57,FedEx Trade Network,mishon
6667976,2023-02-02 19:23:50,2023-02-03 00:00:00,8.12,STANDARD - BEST WAY AMAZON,stamps_com,usps_priority_mail,21.10,16.00,10.00,1.00,38.47,FedEx Trade Network,mishon
6667973,2023-02-02 19:18:59,2023-02-03 00:00:00,6.22,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,14.80,16.00,10.00,1.00,14.21,FedEx Trade Network,mishon
6667972,2023-02-02 19:17:12,2023-02-03 00:00:00,4.44,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,5.60,16.00,10.00,1.00,19.52,FedEx Trade Network,mishon
6667971,2023-02-02 19:13:59,2023-02-03 00:00:00,9.54,STANDARD - BEST WAY AMAZON,stamps_com,usps_priority_mail,18.30,16.00,10.00,1.00,14.89,FedEx Trade Network,mishon
6667970,2023-02-02 19:15:38,2023-02-03 00:00:00,8.37,STANDARD - BEST WAY AMAZON,stamps_com,usps_priority_mail,18.30,16.00,10.00,1.00,27.51,FedEx Trade Network,mishon
6667958,2023-02-02 19:05:54,2023-02-03 00:00:00,8.37,(NO SMARTPOST/MAIL INNOV) - BEST WAY SHOPIFY,stamps_com,usps_priority_mail,55.60,16.00,10.00,1.00,78.02,FedEx Trade Network,mishon
6667957,2023-02-02 19:05:34,2023-02-03 00:00:00,11.78,(NO SMARTPOST/MAIL INNOV) - BEST WAY SHOPIFY,fedex,fedex_home_delivery,92.90,19.20,17.50,7.20,128.35,FedEx Trade Network,mishon
6667939,2023-02-02 18:30:37,2023-02-03 00:00:00,20.09,Amazon Merchants@ - Standard,ups,ups_standard,142.60,28.00,4.00,4.00,179.14,"New Dundee, ON",partdiscounter
6667933,2023-02-02 19:16:47,2023-02-03 00:00:00,8.81,STANDARD - BEST WAY EBAY,fedex,fedex_smartpost_parcel_select,134.50,15.50,11.50,3.50,59.95,FedEx Trade Network,mishon
6667930,2023-02-02 19:10:47,2023-02-03 00:00:00,5.04,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,9.20,16.00,10.00,1.00,15.85,FedEx Trade Network,mishon
6667929,2023-02-02 19:09:38,2023-02-03 00:00:00,9.54,STANDARD - BEST WAY AMAZON,stamps_com,usps_priority_mail,16.20,16.00,10.00,1.00,22.03,FedEx Trade Network,mishon
6667926,2023-02-02 18:56:26,2023-02-03 00:00:00,12.37,STANDARD - BEST WAY AMAZON,fedex,fedex_home_delivery,201.30,10.00,9.00,6.00,149.75,FedEx Trade Network,mishon
6667925,2023-02-02 18:56:33,2023-02-03 00:00:00,6.00,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,12.70,9.40,4.40,4.40,27.64,FedEx Trade Network,mishon
6667924,2023-02-02 18:55:19,2023-02-03 00:00:00,4.24,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,4.20,16.00,10.00,1.00,21.60,FedEx Trade Network,mishon
6667914,2023-02-02 19:03:09,2023-02-03 00:00:00,10.81,STANDARD - BEST WAY EBAY,fedex,fedex_home_delivery,230.90,24.00,8.00,8.00,79.95,FedEx Trade Network,mishon
6667908,2023-02-02 18:54:28,2023-02-03 00:00:00,4.09,STANDARD - BEST WAY EBAY,stamps_com,usps_first_class_mail,7.00,16.00,10.00,1.00,14.95,FedEx Trade Network,mishon
6667899,2023-02-02 18:44:12,2023-02-03 00:00:00,4.20,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,4.20,10.00,6.00,1.00,16.37,FedEx Trade Network,mishon
6667897,2023-02-02 18:44:31,2023-02-03 00:00:00,9.47,STANDARD - BEST WAY AMAZON,fedex,fedex_home_delivery,165.40,12.00,10.00,12.00,53.12,FedEx Trade Network,mishon
6667895,2023-02-02 18:44:09,2023-02-03 00:00:00,4.15,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,4.20,16.00,10.00,1.00,12.55,FedEx Trade Network,mishon
6667886,2023-02-02 18:52:07,2023-02-03 00:00:00,4.15,STANDARD - BEST WAY EBAY,stamps_com,usps_first_class_mail,4.90,16.00,10.00,1.00,11.95,FedEx Trade Network,mishon
6667885,2023-02-02 18:49:13,2023-02-03 00:00:00,7.96,STANDARD - BEST WAY EBAY,fedex,fedex_smartpost_parcel_select,23.20,10.00,6.00,1.00,34.95,FedEx Trade Network,mishon
6667878,2023-02-02 18:11:20,2023-02-03 00:00:00,10.20,Amazon Merchants@ - Expedited,canada_post,expedited_parcel,3.60,16.00,10.00,1.00,42.82,"New Dundee, ON",partdiscounter
6667877,2023-02-02 18:08:08,2023-02-03 00:00:00,15.60,Amazon Merchants@ - Standard,canada_post,expedited_parcel,16.90,16.00,10.00,1.00,65.43,"New Dundee, ON",partdiscounter
6667871,2023-02-02 18:42:10,2023-02-03 00:00:00,6.44,STANDARD - BEST WAY EBAY,stamps_com,usps_first_class_mail,14.10,16.00,10.00,1.00,39.95,FedEx Trade Network,mishon
6667859,2023-02-02 18:27:51,2023-02-03 00:00:00,9.54,STANDARD - BEST WAY AMAZON,stamps_com,usps_priority_mail,17.60,16.00,10.00,1.00,23.32,FedEx Trade Network,mishon
6667857,2023-02-02 18:22:55,2023-02-03 00:00:00,9.47,STANDARD - BEST WAY AMAZON,fedex,fedex_home_delivery,163.70,10.00,9.00,6.00,129.95,FedEx Trade Network,mishon
6667856,2023-02-02 18:17:46,2023-02-03 00:00:00,10.77,STANDARD - BEST WAY AMAZON,fedex,fedex_smartpost_parcel_select,100.30,15.50,11.50,3.50,55.28,FedEx Trade Network,mishon
6667855,2023-02-02 18:15:11,2023-02-03 00:00:00,4.44,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,5.60,10.00,6.00,1.00,16.24,FedEx Trade Network,mishon
6667854,2023-02-02 18:15:54,2023-02-03 00:00:00,12.22,STANDARD - BEST WAY AMAZON,fedex,fedex_home_delivery,144.30,28.00,4.00,4.00,118.47,FedEx Trade Network,mishon
6667843,2023-02-02 18:25:46,2023-02-03 00:00:00,8.89,STANDARD - BEST WAY EBAY,fedex,fedex_ground,67.60,17.20,15.90,5.70,99.95,FedEx Trade Network,mishon
6667841,2023-02-02 17:53:46,2023-02-03 00:00:00,4.20,(NO SMARTPOST/MAIL INNOV) - BEST WAY SHOPIFY,stamps_com,usps_first_class_mail,4.90,16.00,10.00,1.00,13.66,FedEx Trade Network,mishon
6667824,2023-02-02 17:40:39,2023-02-03 00:00:00,11.62,Amazon Merchants@ - Expedited,canada_post,expedited_parcel,4.20,10.00,6.00,1.00,26.39,"New Dundee, ON",partdiscounter
6667823,2023-02-02 17:40:23,2023-02-03 00:00:00,15.35,Amazon Merchants@ - Expedited,canada_post,expedited_parcel,54.60,16.00,10.00,1.00,80.43,"New Dundee, ON",partdiscounter
6667822,2023-02-02 17:37:03,2023-02-03 00:00:00,10.84,Amazon Merchants@ - Expedited,ups,ups_standard,10.60,16.00,10.00,1.00,46.27,"New Dundee, ON",partdiscounter
6667816,2023-02-02 18:08:37,2023-02-03 00:00:00,10.23,STANDARD - BEST WAY AMAZON,stamps_com,usps_priority_mail,44.40,11.50,8.50,6.50,57.73,FedEx Trade Network,mishon
6667815,2023-02-02 18:05:37,2023-02-03 00:00:00,8.37,STANDARD - BEST WAY AMAZON,stamps_com,usps_priority_mail,25.30,16.00,10.00,1.00,21.15,FedEx Trade Network,mishon
6667811,2023-02-02 17:55:54,2023-02-03 00:00:00,7.96,STANDARD - BEST WAY AMAZON,fedex,fedex_smartpost_parcel_select,17.60,16.00,10.00,1.00,26.45,FedEx Trade Network,mishon
6667808,2023-02-02 18:10:39,2023-02-03 00:00:00,8.39,STANDARD - BEST WAY EBAY,fedex,fedex_smartpost_parcel_select,32.40,16.00,10.00,1.00,37.95,FedEx Trade Network,mishon
6667805,2023-02-02 18:07:13,2023-02-03 00:00:00,8.70,STANDARD - BEST WAY EBAY,stamps_com,usps_priority_mail,27.50,16.00,10.00,1.00,34.95,FedEx Trade Network,mishon
6667803,2023-02-02 18:06:55,2023-02-03 00:00:00,8.37,STANDARD - BEST WAY EBAY,stamps_com,usps_priority_mail,25.30,16.00,10.00,1.00,19.95,FedEx Trade Network,mishon
6667794,2023-02-02 18:02:15,2023-02-03 00:00:00,7.67,STANDARD - BEST WAY EBAY,fedex,fedex_ground,35.20,11.50,8.50,6.50,59.90,FedEx Trade Network,mishon
6667793,2023-02-02 17:59:59,2023-02-03 00:00:00,4.81,STANDARD - BEST WAY EBAY,stamps_com,usps_first_class_mail,8.40,16.00,10.00,1.00,21.95,FedEx Trade Network,mishon
6667792,2023-02-02 17:15:30,2023-02-03 00:00:00,12.76,Amazon Merchants@ - Expedited,canada_post,expedited_parcel,24.60,10.00,6.00,1.00,70.00,"New Dundee, ON",partdiscounter
6667791,2023-02-02 17:16:14,2023-02-03 00:00:00,36.57,Amazon Merchants@ - Standard,ups,ups_standard,93.60,20.00,19.00,7.00,149.44,"New Dundee, ON",partdiscounter
6667776,2023-02-02 17:54:45,2023-02-03 00:00:00,4.81,STANDARD - BEST WAY EBAY,stamps_com,usps_first_class_mail,9.20,16.00,10.00,1.00,19.95,FedEx Trade Network,mishon
6667775,2023-02-02 17:40:58,2023-02-03 00:00:00,4.13,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,2.10,16.00,10.00,1.00,10.81,FedEx Trade Network,mishon
6667772,2023-02-02 17:42:12,2023-02-03 00:00:00,4.20,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,5.60,16.00,10.00,1.00,18.14,FedEx Trade Network,mishon
6667770,2023-02-02 17:38:16,2023-02-03 00:00:00,11.32,STANDARD - BEST WAY AMAZON,fedex,fedex_home_delivery,101.40,28.00,4.00,4.00,85.75,FedEx Trade Network,mishon
6667760,2023-02-02 17:07:33,2023-02-03 00:00:00,10.20,Amazon Merchants@ - Expedited,canada_post,expedited_parcel,5.60,16.00,10.00,1.00,24.80,"New Dundee, ON",partdiscounter
6667758,2023-02-02 17:00:45,2023-02-03 00:00:00,10.91,Amazon Merchants@ - Expedited,ups,ups_standard,59.80,16.00,10.00,1.00,44.01,"New Dundee, ON",partdiscounter
6667757,2023-02-02 17:29:06,2023-02-03 00:00:00,4.13,(NO SMARTPOST/MAIL INNOV) - BEST WAY SHOPIFY,stamps_com,usps_first_class_mail,2.10,10.00,6.00,1.00,10.72,FedEx Trade Network,mishon
6667751,2023-02-02 17:35:19,2023-02-03 00:00:00,4.20,STANDARD - BEST WAY EBAY,stamps_com,usps_first_class_mail,4.20,10.00,6.00,1.00,9.95,FedEx Trade Network,mishon
6667743,2023-02-02 17:28:36,2023-02-03 00:00:00,6.78,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,12.70,16.00,10.00,1.00,24.81,FedEx Trade Network,mishon
6667742,2023-02-02 17:26:01,2023-02-03 00:00:00,7.67,STANDARD - BEST WAY AMAZON,fedex,fedex_ground,16.20,10.00,6.00,1.00,42.70,FedEx Trade Network,mishon
6667741,2023-02-02 17:26:35,2023-02-03 00:00:00,4.74,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,9.20,16.00,10.00,1.00,15.85,FedEx Trade Network,mishon
6667738,2023-02-02 17:15:18,2023-02-03 00:00:00,3.90,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,2.10,10.00,6.00,1.00,21.47,FedEx Trade Network,mishon
6667731,2023-02-02 17:31:32,2023-02-03 00:00:00,10.73,STANDARD - BEST WAY EBAY,fedex,fedex_smartpost_parcel_select,73.90,24.00,4.00,4.00,56.95,FedEx Trade Network,mishon
6667725,2023-02-02 17:26:32,2023-02-03 00:00:00,4.15,STANDARD - BEST WAY EBAY,stamps_com,usps_first_class_mail,4.90,10.00,6.00,1.00,9.95,FedEx Trade Network,mishon
6667724,2023-02-02 16:46:38,2023-02-03 00:00:00,14.64,Amazon Merchants@ - Expedited,ups,ups_standard,32.40,15.50,11.50,3.50,64.28,"New Dundee, ON",partdiscounter
6667723,2023-02-02 17:13:16,2023-02-03 00:00:00,10.23,(NO SMARTPOST/MAIL INNOV) - BEST WAY SHOPIFY,stamps_com,usps_priority_mail,43.60,11.50,8.50,6.50,53.95,FedEx Trade Network,mishon
6667717,2023-02-02 17:17:07,2023-02-03 00:00:00,39.81,,ups,ups_worldwide_expedited,44.00,11.50,8.50,6.50,93.90,"New Dundee, ON",partdiscounter
6667715,2023-02-02 17:18:52,2023-02-03 00:00:00,41.65,eBay - Expedited,canada_post,expedited_parcel,88.00,11.50,8.50,6.50,125.95,"New Dundee, ON",partdiscounter
6667706,2023-02-02 16:42:28,2023-02-03 00:00:00,20.76,Amazon Merchants@ - Expedited,canada_post,expedited_parcel,54.90,16.00,10.00,1.00,63.18,"New Dundee, ON",partdiscounter
6667705,2023-02-02 17:16:25,2023-02-03 00:00:00,7.96,STANDARD - BEST WAY EBAY,fedex,fedex_smartpost_parcel_select,36.60,16.00,10.00,1.00,39.95,FedEx Trade Network,mishon
6667704,2023-02-02 17:10:35,2023-02-03 00:00:00,8.97,STANDARD - BEST WAY EBAY,fedex,fedex_smartpost_parcel_select,44.00,15.50,11.50,3.50,19.95,FedEx Trade Network,mishon
6667698,2023-02-02 17:02:37,2023-02-03 00:00:00,7.96,STANDARD - BEST WAY AMAZON,fedex,fedex_smartpost_parcel_select,35.20,16.00,10.00,1.00,23.60,FedEx Trade Network,mishon
6667695,2023-02-02 17:04:38,2023-02-03 00:00:00,8.37,STANDARD - BEST WAY AMAZON,stamps_com,usps_priority_mail,26.00,16.00,10.00,1.00,28.63,FedEx Trade Network,mishon
6667694,2023-02-02 16:59:50,2023-02-03 00:00:00,5.04,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,8.40,10.00,6.00,1.00,18.38,FedEx Trade Network,mishon
6667691,2023-02-02 17:01:38,2023-02-03 00:00:00,8.70,STANDARD - BEST WAY AMAZON,stamps_com,usps_priority_mail,26.80,16.00,10.00,1.00,26.70,FedEx Trade Network,mishon
6667687,2023-02-02 16:54:40,2023-02-03 00:00:00,5.33,STANDARD - BEST WAY AMAZON,stamps_com,usps_first_class_mail,8.40,10.00,6.00,1.00,15.95,FedEx Trade Network,mishon
6667679,2023-02-02 16:56:45,2023-02-03 00:00:00,11.97,(NO SMARTPOST/MAIL INNOV) - BEST WAY SHOPIFY,fedex,fedex_home_delivery,52.80,24.00,4.00,4.00,43.35,FedEx Trade Network,mishon
6667678,2023-02-02 16:51:09,2023-02-03 00:00:00,8.70,(NO SMARTPOST/MAIL INNOV) - BEST WAY SHOPIFY,stamps_com,usps_priority_mail,32.40,16.00,10.00,1.00,43.35,FedEx Trade Network,mishon
6667673,2023-02-02 17:06:23,2023-02-03 00:00:00,10.85,STANDARD - BEST WAY EBAY,stamps_com,usps_priority_mail,27.50,16.00,10.00,1.00,39.95,FedEx Trade Network,mishon
6667668,2023-02-02 16:27:10,2023-02-03 00:00:00,9.48,Amazon Merchants@ - Expedited,canada_post,expedited_parcel,15.80,16.00,10.00,1.00,40.18,"New Dundee, ON",partdiscounter
6667666,2023-02-02 16:20:56,2023-02-03 00:00:00,16.63,Amazon Merchants@ - Standard,canada_post,expedited_parcel,17.60,16.00,10.00,1.00,44.79,"New Dundee, ON",partdiscounter
6667665,2023-02-02 16:15:55,2023-02-03 00:00:00,12.76,Amazon Merchants@ - Expedited,canada_post,expedited_parcel,15.80,16.00,10.00,1.00,39.49,"New Dundee, ON",partdiscounter
6667657,2023-02-02 16:56:25,2023-02-03 00:00:00,9.68,STANDARD - BEST WAY EBAY,fedex,fedex_ground,50.70,15.50,11.50,3.50,29.95,FedEx Trade Network,mishon
6667646,2023-02-02 16:46:36,2023-02-03 00:00:00,8.37,STANDARD - BEST WAY AMAZON,stamps_com,usps_priority_mail,25.30,16.00,10.00,1.00,21.30,FedEx Trade Network,mishon
6667645,2023-02-02 16:45:39,2023-02-03 00:00:00,15.44,STANDARD - BEST WAY AMAZON,fedex,fedex_home_delivery,500.50,24.00,8.00,8.00,213.95,FedEx Trade Network,mishon
